100		:	1521		:	234
105		:	1233		:	190
110		:	1014		:	156
115		:	832.7		:	126.1
120		:	689.8		:	103.8
125		:	575.0		:	86.2
130		:	481.4		:	71.7
135		:	405.2		:	60.3
140		:	342.9		:	51.1
145		:	291.8		:	43.2
150		:	249.4		:	36.8
155		:	214.2		:	31.3
160		:	184.6		:	26.9
165		:	159.6		:	23.6
170		:	139.3		:	20.3
175		:	121.4		:	17.8
180		:	106.2		:	15.1
185		:	93.33		:	13.52
190		:	82.25		:	11.90
195		:	72.74		:	10.51
200		:	64.51		:	9.30
205		:	57.23		:	8.25
210		:	50.92		:	7.25
215		:	45.38		:	6.51
220		:	40.59		:	5.79
225		:	36.38		:	5.17
230		:	32.67		:	4.63
235		:	29.32		:	4.17
240		:	26.48		:	3.75
245		:	23.89		:	3.33
250		:	21.59		:	3.04
255		:	19.56		:	2.71
260		:	17.68		:	2.47
265		:	16.11		:	2.25
270		:	14.65		:	2.04
275		:	13.32		:	1.90
280		:	12.16		:	1.72
285		:	11.09		:	1.56
290		:	10.14		:	1.41
295		:	9.290		:	1.292
300		:	8.516		:	1.186
305		:	7.814		:	1.086
310		:	7.179		:	1.000
315		:	6.603		:	0.919
320		:	6.084		:	0.839
325		:	5.605		:	0.774
330		:	5.172		:	0.708
335		:	4.779		:	0.657
340		:	4.416		:	0.609
345		:	4.089		:	0.560
350		:	3.787		:	0.518
355		:	3.509		:	0.485
360		:	3.256		:	0.449
365		:	3.025		:	0.415
370		:	2.808		:	0.388
375		:	2.612		:	0.362
380		:	2.430		:	0.333
385		:	2.264		:	0.311
390		:	2.108		:	0.289
395		:	1.967		:	0.265
400		:	1.835		:	0.251
405		:	1.709		:	0.234
410		:	1.604		:	0.217
415		:	1.498		:	0.201
420		:	1.397		:	0.191
425		:	1.312		:	0.177
430		:	1.226		:	0.163
435		:	1.146		:	0.155
440		:	1.075		:	0.148
445		:	1.010		:	0.136
450		:	0.9483		:	0.1276
455		:	0.8908		:	0.1199
460		:	0.8368		:	0.1125
465		:	0.7872		:	0.1056
470		:	0.7405		:	0.0993
475		:	0.6971		:	0.0934
480		:	0.6560		:	0.0882
485		:	0.6186		:	0.0827
490		:	0.5825		:	0.0780
495		:	0.5495		:	0.0735
500		:	0.5185		:	0.0694
505		:	0.4893		:	0.0654
510		:	0.4624		:	0.0615
515		:	0.4368		:	0.0584
520		:	0.4128		:	0.0548
525		:	0.3903		:	0.0521
530		:	0.3688		:	0.0493
535		:	0.3487		:	0.0463
540		:	0.3302		:	0.0439
545		:	0.3127		:	0.0415
550		:	0.2961		:	0.0393
555		:	0.2807		:	0.0372
560		:	0.2661		:	0.0351
565		:	0.2516		:	0.0331
570		:	0.2385		:	0.0318
575		:	0.2261		:	0.0300
580		:	0.2146		:	0.0283
585		:	0.2036		:	0.0271
590		:	0.1931		:	0.0255
595		:	0.1836		:	0.0240
600		:	0.1746		:	0.0231
605		:	0.1661		:	0.0216
610		:	0.1582		:	0.0208
615		:	0.1503		:	0.0200
620		:	0.1428		:	0.0187
625		:	0.1364		:	0.0175
630		:	0.1299		:	0.0173
635		:	0.1234		:	0.0161
640		:	0.1180		:	0.0150
645		:	0.1120		:	0.0143
650		:	0.1070		:	0.0138
655		:	0.1021		:	0.0133
660		:	0.09725		:	0.01255
665		:	0.09275		:	0.01202
670		:	0.08851		:	0.01153
675		:	0.08449		:	0.01104
680		:	0.08062		:	0.01057
685		:	0.07691		:	0.01011
690		:	0.07349		:	0.00973
695		:	0.07018		:	0.00931
700		:	0.06705		:	0.00895
705		:	0.06414		:	0.00857
710		:	0.06129		:	0.00821
715		:	0.05857		:	0.00789
720		:	0.05608		:	0.00757
725		:	0.05364		:	0.00729
730		:	0.05132		:	0.00696
735		:	0.04910		:	0.00669
740		:	0.04708		:	0.00645
745		:	0.04506		:	0.00617
750		:	0.04314		:	0.00593
755		:	0.04134		:	0.00570
760		:	0.03963		:	0.00549
765		:	0.03790		:	0.00525
770		:	0.03639		:	0.00507
775		:	0.03488		:	0.00487
780		:	0.03347		:	0.00469
785		:	0.03205		:	0.00450
790		:	0.03074		:	0.00434
795		:	0.02953		:	0.00418
800		:	0.02833		:	0.00402
805		:	0.02722		:	0.00388
810		:	0.02612		:	0.00373
815		:	0.02511		:	0.00361
820		:	0.02411		:	0.00347
825		:	0.02309		:	0.00333
830		:	0.02218		:	0.00321
835		:	0.02138		:	0.00311
840		:	0.02047		:	0.00299
845		:	0.01977		:	0.00290
850		:	0.01896		:	0.00279
855		:	0.01825		:	0.00269
860		:	0.01755		:	0.00260
865		:	0.01683		:	0.00250
870		:	0.01623		:	0.00241
875		:	0.01563		:	0.00234
880		:	0.01501		:	0.00226
885		:	0.01441		:	0.00217
890		:	0.01390		:	0.00210
895		:	0.01340		:	0.00203
900		:	0.01289		:	0.00196
905		:	0.01238		:	0.00189
910		:	0.01198		:	0.00183
915		:	0.01147		:	0.00176
920		:	0.01107		:	0.00171
925		:	0.01066		:	0.00165
930		:	0.01026		:	0.00159
935		:	0.009887	:	0.001543
940		:	0.009521	:	0.001486
945		:	0.009166	:	0.001438
950		:	0.008835	:	0.001389
955		:	0.008511	:	0.001345
960		:	0.008209	:	0.001301
965		:	0.007914	:	0.001260
970		:	0.007631	:	0.001219
975		:	0.007357	:	0.001181
980		:	0.007103	:	0.001141
985		:	0.006849	:	0.001106
990		:	0.006607	:	0.001069
995		:	0.006375	:	0.001034
1000	:	0.006151	:	0.001002
1005	:	0.005938	:	0.000972
1010	:	0.005725	:	0.000938
1015	:	0.005531	:	0.000911
1020	:	0.005340	:	0.000881
1025	:	0.005146	:	0.000853
1030	:	0.004972	:	0.000825
1035	:	0.004799	:	0.000800
1040	:	0.004638	:	0.000774
1045	:	0.004475	:	0.000748
1050	:	0.004323	:	0.000726
1055	:	0.004180	:	0.000705
1060	:	0.004039	:	0.000682
1065	:	0.003896	:	0.000662
1070	:	0.003763	:	0.000639
1075	:	0.003642	:	0.000621
1080	:	0.003521	:	0.000602
1085	:	0.003398	:	0.000584
1090	:	0.003287	:	0.000566
1095	:	0.003176	:	0.000548
1100	:	0.003074	:	0.000533
1105	:	0.002974	:	0.000517
1110	:	0.002871	:	0.000502
1115	:	0.002781	:	0.000487
1120	:	0.002689	:	0.000473
1125	:	0.002608	:	0.000459
1130	:	0.002515	:	0.000445
1135	:	0.002435	:	0.000431
1140	:	0.002363	:	0.000421
1145	:	0.002282	:	0.000407
1150	:	0.002210	:	0.000396
1155	:	0.002139	:	0.000386
1160	:	0.002068	:	0.000373
1165	:	0.002006	:	0.000363
1170	:	0.001946	:	0.000353
1175	:	0.001874	:	0.000341
1180	:	0.001823	:	0.000334
1185	:	0.001762	:	0.000323
